TokenCount	Count	AvgHx	StdHx
4	1	7.4569	0.0000
5	6	6.0740	0.8129
6	6	5.5822	1.3253
7	10	4.9953	0.6345
8	7	5.5084	0.7300
9	34	5.2326	0.7460
10	27	4.7585	0.7318
11	41	4.9529	0.7868
12	36	4.5280	0.7523
13	37	4.6658	0.6998
14	48	nan	nan
15	53	4.5296	0.6888
16	63	4.2824	0.6632
17	55	4.4478	0.6268
18	66	4.3470	0.6662
19	68	4.3401	0.6356
20	49	4.3775	0.5617
21	64	4.3020	0.5502
22	46	4.1839	0.4066
23	43	4.1559	0.6604
24	47	4.3866	0.5690
25	48	4.1588	0.5141
26	49	4.1416	0.5678
27	37	3.9630	0.4772
28	33	4.0285	0.3913
29	38	4.1535	0.4602
30	30	3.9792	0.5032
31	29	4.0679	0.5594
32	28	4.0594	0.4929
33	29	4.1072	0.4992
34	23	4.0011	0.3870
35	15	3.8777	0.5262
36	13	4.0159	0.6627
37	15	3.9355	0.2916
38	11	3.8355	0.3875
39	11	3.9769	0.3760
40	11	3.8955	0.3419
41	12	4.0739	0.4001
42	5	3.7777	0.6314
43	7	4.0054	0.4343
44	10	4.0238	0.3821
45	4	3.8805	0.1799
46	7	3.9129	0.2722
47	3	3.9275	0.4327
48	1	3.3619	0.0000
49	1	3.2723	0.0000
50	4	3.9507	0.3138
51	3	3.8007	0.1312
52	2	3.7963	0.0405
53	1	3.2945	0.0000
54	2	3.6696	0.1468
56	2	3.8074	0.0321
58	2	4.0120	0.0604
59	3	3.6532	0.0460
61	2	3.3173	0.2868
62	1	3.9969	0.0000
68	1	3.6779	0.0000
70	1	3.9931	0.0000
73	1	3.9833	0.0000
75	1	3.4971	0.0000
77	1	3.5407	0.0000
81	1	3.4912	0.0000
105	1	3.7232	0.0000
118	1	4.0226	0.0000
148	1	3.7850	0.0000
264	1	3.5007	0.0000
